data,par_moeda,moeda_base,moeda_cotada,bid,ask,high,low,fonte,confiabilidade
2025-11-06,USD-BRL,USD,BRL,5.05,5.05583276,5.10029052,5.02025426,awesomeapi,market_api
2025-11-07,USD-BRL,USD,BRL,5.06585748,5.07202222,5.09308205,5.05301753,awesomeapi,market_api
2025-11-08,USD-BRL,USD,BRL,5.02386221,5.03084254,5.04307216,4.9881884,awesomeapi,market_api
2025-11-09,USD-BRL,USD,BRL,5.05867172,5.06158678,5.10850518,5.02957403,awesomeapi,market_api
2025-11-10,USD-BRL,USD,BRL,5.10189706,5.11131074,5.13151097,5.08923085,awesomeapi,market_api
2025-11-11,USD-BRL,USD,BRL,5.02009427,5.0287957,5.056166,4.97865812,awesomeapi,market_api
2025-11-12,USD-BRL,USD,BRL,4.96729027,4.97296419,5.00257539,4.92333059,awesomeapi,market_api
2025-11-13,USD-BRL,USD,BRL,4.97541996,4.98261739,4.99920938,4.93909821,awesomeapi,market_api
2025-11-14,USD-BRL,USD,BRL,4.9647822,4.97226801,5.01286461,4.94012065,awesomeapi,market_api
2025-11-15,USD-BRL,USD,BRL,4.96680381,4.97245416,5.00900666,4.93677403,awesomeapi,market_api
2025-11-16,USD-BRL,USD,BRL,4.93352189,4.9414395,4.96153283,4.91514964,awesomeapi,market_api
2025-11-17,USD-BRL,USD,BRL,4.97311282,4.98115835,4.98827704,4.95526597,awesomeapi,market_api
2025-11-18,USD-BRL,USD,BRL,5.00872643,5.01594019,5.04868685,4.96285901,awesomeapi,market_api
2025-11-19,USD-BRL,USD,BRL,5.01429244,5.01884983,5.02876265,4.96591267,awesomeapi,market_api
2025-11-20,USD-BRL,USD,BRL,5.06509499,5.06880079,5.0832348,5.04315991,awesomeapi,market_api
2025-11-21,USD-BRL,USD,BRL,5.08800862,5.09459294,5.13411923,5.04687528,awesomeapi,market_api
2025-11-22,USD-BRL,USD,BRL,5.05364428,5.06153927,5.07083397,5.02907618,awesomeapi,market_api
2025-11-23,USD-BRL,USD,BRL,5.07226383,5.07843986,5.08839063,5.05102405,awesomeapi,market_api
2025-11-24,USD-BRL,USD,BRL,5.03371208,5.03855703,5.04890488,5.00148667,awesomeapi,market_api
2025-11-25,USD-BRL,USD,BRL,5.07406648,5.08196956,5.08705332,5.04438835,awesomeapi,market_api
2025-11-26,USD-BRL,USD,BRL,5.07470394,5.08319552,5.11521997,5.03146449,awesomeapi,market_api
2025-11-27,USD-BRL,USD,BRL,5.06952099,5.0754643,5.11293868,5.04961793,awesomeapi,market_api
2025-11-28,USD-BRL,USD,BRL,5.04296734,5.04821816,5.06016812,5.01402133,awesomeapi,market_api
2025-11-29,USD-BRL,USD,BRL,5.09814548,5.10369272,5.11816802,5.05728769,awesomeapi,market_api
2025-11-30,USD-BRL,USD,BRL,5.09425304,5.09919839,5.11555942,5.07873023,awesomeapi,market_api
2025-12-01,USD-BRL,USD,BRL,5.07850779,5.08438989,5.10097367,5.05334794,awesomeapi,market_api
2025-12-02,USD-BRL,USD,BRL,5.06610031,5.07042674,5.10716229,5.01827619,awesomeapi,market_api
2025-12-03,USD-BRL,USD,BRL,5.09180889,5.09815785,5.12818471,5.04630146,awesomeapi,market_api
2025-12-04,USD-BRL,USD,BRL,5.11042594,5.12063782,5.14572943,5.06382787,awesomeapi,market_api
2025-12-05,USD-BRL,USD,BRL,5.13116521,5.14072412,5.17391608,5.10198196,awesomeapi,market_api
2025-12-06,USD-BRL,USD,BRL,5.15277757,5.15598121,5.16373466,5.12280074,awesomeapi,market_api
2025-12-07,USD-BRL,USD,BRL,5.24941278,5.25592978,5.27701891,5.21505359,awesomeapi,market_api
2025-12-08,USD-BRL,USD,BRL,5.23416571,5.24111796,5.27966582,5.21914755,awesomeapi,market_api
2025-12-09,USD-BRL,USD,BRL,5.21425462,5.21862295,5.25776257,5.16845941,awesomeapi,market_api
2025-12-10,USD-BRL,USD,BRL,4.92200235,4.93180814,4.96621815,4.87711766,awesomeapi,market_api
2025-12-11,USD-BRL,USD,BRL,5.21103178,5.21609441,5.23819842,5.18943372,awesomeapi,market_api
2025-12-12,USD-BRL,USD,BRL,5.26390429,5.27132349,5.31396635,5.23886323,awesomeapi,market_api
2025-12-13,USD-BRL,USD,BRL,5.26170106,5.26872808,5.28469679,5.24403017,awesomeapi,market_api
2025-12-14,USD-BRL,USD,BRL,5.22701946,5.23116332,5.23989655,5.17686961,awesomeapi,market_api
